Company,Car_type,Horsepower(hp),Acceleration 0 to 100 km/h (seconds),Average_energy_consumption_1 (kWh/100km),Average_energy_consumption_2_3 (L/100km),Energy_type,GHG_per_10000km,Energy_price,Score_perf,Score_balanced,Score_env,Score_daily
Tesla,Model 3 Long Range 82 kWh AWD ,498,4.4,14.0,,1,571.1999999999999,0.3,26.28030418209061,1.4168955308810023,0.034142197374055445,2.2284446058918683
Tesla,Model 3 Performance 79 kWh AWD ,460,3.1,16.7,,1,681.3599999999999,0.3,32.067649003622755,1.4976457156918734,0.031856896029763965,2.249598152049881
Tesla,Model 3 Performance 82 kWh AWD ,510,3.1,14.0,,1,571.1999999999999,0.3,35.44670251403314,1.645548006977724,0.036794070134539,2.313369601896482
Tesla,Model 3 RWD 60 kWh,283,6.1,13.2,,1,538.56,0.3,12.951788549034426,1.0094295997349876,0.02976564711005397,2.0503369900010773
Tesla,Model 3 RWD Long Range 82kWh,283,5.2,12.5,,1,509.99999999999994,0.3,14.79644316955209,1.093719127936403,0.031926063244854225,2.0947118415085457
Tesla,Model S 100D Performance,612,3.4,20.0,,1,816.0,0.3,36.756729540684944,1.5327297180259052,0.029184970886872184,2.252481490276691
Tesla,Model S 70,320,5.9,18.5,,1,754.8,0.3,14.188714782167493,0.9710313306876672,0.024247398152457942,2.0134905874937123
Tesla,Model S 70D,333,5.4,18.1,,1,738.48,0.3,15.757756300775595,1.0289213803090231,0.025261599917952453,2.043968364831912
Tesla,Model S Long Range,449,3.7,17.5,,1,714.0,0.3,27.174011001944063,1.3626113647790448,0.029614748559841055,2.194510366600753
Tesla,Model S P100D,613,2.5,20.0,,1,816.0,0.3,47.069028145047724,1.734461891729034,0.031046229000735864,2.3231969397022403
Tesla,Model S P90D,700,2.8,19.7,,1,803.76,0.3,47.8770345155867,1.7559078090548126,0.03149832094190555,2.3312258929518253
Tesla,Model S Performance,612,3.2,18.7,,1,762.9599999999999,0.3,38.84354449224069,1.602336295338212,0.03096399042977634,2.2814605505116767
Tesla,Model S Performance Ludicrous,612,2.4,20.0,,1,816.0,0.3,48.5680875795863,1.761865080646442,0.03129052136742116,2.3323192586409887
Tesla,Model S Plaid,1020,2.1,18.7,,1,762.9599999999999,0.3,81.8733195483665,2.3262985152913718,0.0373089314868231,2.5043262570230915
Tesla,Model S Standard Range,320,4.2,17.5,,1,714.0,0.3,18.725723383172113,1.1311349857383333,0.02698231846668263,2.094706806210114
Tesla,Model X 100D Performance,612,3.1,22.5,,1,918.0,0.3,39.112483150046245,1.5352061819692722,0.0273763751368508,2.2467652643466054
Tesla,Model X 75D,333,6.2,20.8,,1,848.64,0.3,13.914178162437755,0.9338295052588017,0.022294202148439822,1.9880893590448936
Tesla,Model X 90D,423,5.0,21.5,,1,877.2,0.3,19.94684912105441,1.1088739522477031,0.02385574100001474,2.073624761610467
Tesla,Model X Long Range,680,3.9,22.0,,1,897.5999999999999,0.3,35.49237281029159,1.4706742643825483,0.027128060475443583,2.224022324844281
Tesla,Model X P100D,680,2.9,23.0,,1,938.3999999999999,0.3,44.785539112252344,1.6337725305657433,0.027902200690512854,2.280737418508021
Tesla,Model X P90D,539,3.3,22.7,,1,926.16,0.3,33.5798794528083,1.4193442660742863,0.026195254692960697,2.202631656800736
Tesla,Model X Performance,612,3.5,22.5,,1,918.0,0.3,35.49362108482243,1.4624605855631387,0.0267198904513063,2.2196631181772344
Tesla,Model X Plaid,1020,2.5,22.0,,1,897.5999999999999,0.3,70.06606386501039,2.0663450093424323,0.03215599233053595,2.421367607049083
Tesla,Model X Standard Range,328,4.6,20.8,,1,848.64,0.3,17.454537046740402,1.0459067816795447,0.023594165873262487,2.045230438762655
Tesla,Cybertruck Dual Motor AWD,600,4.5,25.0,,1,1019.9999999999999,0.3,28.273452680367058,1.2713322581419104,0.023510155499319587,2.1376512481137264
Tesla,Cybertruck Single Motor,315,6.5,23.0,,1,938.3999999999999,0.3,12.687230563953868,0.8695731124191246,0.020356153381724227,1.948067118909699
Tesla,Cybertruck Tri Motor AWD,845,2.9,26.0,,1,1060.8,0.3,52.63704401874501,1.717738519774282,0.026744603211511703,2.3024251271564027
Tesla,Model Y Long Range AWD,351,5.0,16.9,,1,689.5199999999999,0.3,17.599603245559802,1.1062019205090088,0.027200224563630103,2.084884596315614
Tesla,Model Y Long Range RWD,347,5.9,15.5,,1,632.4,0.3,15.40886530786154,1.0576867174438482,0.027892604206626218,2.066101040476054
Tesla,Model Y Performance AWD,462,3.7,17.3,,1,705.84,0.3,27.833604322706744,1.3830180376373749,0.03002489784597519,2.2033140038326544
Volkswagen,ID.7 GTX 4MOTION,340,5.4,16.2,,1,660.9599999999999,0.3,16.200875424047016,1.0726181295092978,0.02741462323311182,2.071066262884085
Volkswagen,ID.7 Pro,286,6.5,14.1,,1,575.28,0.3,12.332811344823662,0.9689043627901752,0.028123082236200428,2.0260974795801383
Volkswagen,ID.5 GTX 4MOTION,340,5.4,16.6,,1,677.28,0.3,16.161407288526032,1.0647979617439274,0.026950518822863662,2.0660207871429943
Volkswagen,ID.5 Pro,286,6.7,15.8,,1,644.64,0.3,11.901155614046363,0.9250920329240797,0.025812141997767598,1.9971026790437612
Volkswagen,ID.5 Pro Performance,204,8.4,16.9,,1,689.5199999999999,0.3,7.528594270311628,0.7235022995793939,0.021997597100231272,1.8749228312829622
Volkswagen,ID.5 Pure,170,8.9,16.1,,1,656.88,0.3,6.2429003454262135,0.6668703027681828,0.02168999391070705,1.8393326657013052
Volkswagen,ID.4 Pro 4MOTION,286,6.7,16.0,,1,652.8,0.3,11.88619482099898,0.921607652088083,0.025585859964355705,1.9945921463825225
Volkswagen,ID.4 Pro ,286,6.7,15.8,,1,644.64,0.3,11.901155614046363,0.9250920329240797,0.025812141997767598,1.9971026790437612
Volkswagen,ID.4 Pro Performance,204,8.5,18.0,,1,734.4,0.3,7.410774544587505,0.7065913552980324,0.020997967303560357,1.8609334981760677
Volkswagen,ID.4 Pure 52kWh ,170,9.0,16.8,,1,685.44,0.3,6.161068814992779,0.6554738268113192,0.021006347498482302,1.8294759004719088
