Company,Car model,Horsepower(hp),Acceleration 0 to 100 km/h (seconds),Average_energy_consumption_1 (kWh/100km),Average_energy_consumption_2_3 (L/100km),Energy_type,Score overall balanced,Score performance oriented,Score environment oriented,Score expenditure oriented
Tesla,Model 3 Long Range 82 kWh AWD ,498,4.4,14,,electricity,58.20866979,31.02584578,32.01074133,87.70374798
Tesla,Model 3 Performance 79 kWh AWD ,460,3.1,16.7,,electricity,61.91951932,38.20619409,29.26821434,88.64657739
Tesla,Model 3 Performance 82 kWh AWD ,510,3.1,14,,electricity,68.71632294,42.39857971,35.19318055,91.48891872
Tesla,Model 3 RWD 60 kWh,283,6.1,13.2,,electricity,39.48370015,14.48918039,26.7585643,79.76535801
Tesla,Model 3 RWD Long Range 82kWh,283,5.2,12.5,,electricity,43.3571991,16.77784006,29.35122001,81.74317841
Tesla,Model S 100D Performance,612,3.4,20,,electricity,63.53179369,44.02392788,26.06171082,88.77508994
Tesla,Model S 70,320,5.9,18.5,,electricity,37.71911968,16.02383255,20.13626622,78.12308623
Tesla,Model S 70D,333,5.4,18.1,,electricity,40.37943884,17.97053954,21.35338173,79.48150362
Tesla,Model S Long Range,449,3.7,17.5,,electricity,55.71405789,32.13466622,26.57747512,86.1912735
Tesla,Model S P100D,613,2.5,20,,electricity,72.80233275,56.81837822,28.29535524,91.92693054
Tesla,Model S P90D,700,2.8,19.7,,electricity,73.78787319,57.82087028,28.83789829,92.284787
Tesla,Model S Performance,612,3.2,18.7,,electricity,66.73054222,46.61303544,28.19666301,90.06670838
Tesla,Model S Performance Ludicrous,612,2.4,20,,electricity,74.06163774,58.67825857,28.58852376,92.33351913
Tesla,Model S Plaid,1020,2.1,18.7,,electricity,100,100,35.81105143,100
Tesla,Model S Standard Range,320,4.2,17.5,,electricity,45.07663316,21.65289096,23.41836851,81.74295399
Tesla,Model X 100D Performance,612,3.1,22.5,,electricity,63.64559882,46.94670715,23.89126503,88.52031346
Tesla,Model X 75D,333,6.2,20.8,,electricity,36.00952141,15.68321545,17.79228967,76.99093444
Tesla,Model X 90D,423,5,21.5,,electricity,44.05363432,23.16793947,19.6662493,80.80331145
Tesla,Model X Long Range,680,3.9,22,,electricity,60.6800547,42.45524276,23.59326947,87.5066436
Tesla,Model X P100D,680,2.9,23,,electricity,68.1751846,53.98525749,24.52229375,90.03447784
Tesla,Model X P90D,539,3.3,22.7,,electricity,58.32120065,40.08241569,22.47383503,86.55324549
Tesla,Model X Performance,612,3.5,22.5,,electricity,60.30259765,42.45679149,23.10343591,87.31235049
Tesla,Model X Plaid,1020,2.5,22,,electricity,88.0539178,85.3507591,29.62715155,96.30247078
Tesla,Model X Standard Range,328,4.6,20.8,,electricity,41.15999765,20.07573236,19.35234022,79.5377552
Tesla,Cybertruck Dual Motor AWD,600,4.5,25,,electricity,51.51935504,33.49874153,19.25152169,83.65701996
Tesla,Cybertruck Single Motor,315,6.5,23,,electricity,33.05663894,14.16094377,15.4664909,75.20711319
Tesla,Cybertruck Tri Motor AWD,845,2.9,26,,electricity,72.03381541,63.72660551,23.13309301,91.00111528
Tesla,Model Y Long Range AWD,351,5,16.9,,electricity,43.93084193,20.25571573,23.6798716,81.30517073
Tesla,Model Y Long Range RWD,347,5.9,15.5,,electricity,41.70134092,17.53767111,24.51077728,80.46797356
Tesla,Model Y Performance AWD,462,3.7,17.3,,electricity,56.65184017,32.95302247,27.06968395,86.58365821
Volkswagen,ID.7 GTX 4MOTION,340,5.4,16.2,,electricity,42.3875093,18.52031664,23.93716552,80.68927725
Volkswagen,ID.7 Pro,286,6.5,14.1,,electricity,37.62137553,13.72121649,24.78736759,78.68498486
Volkswagen,ID.5 GTX 4MOTION,340,5.4,16.6,,electricity,42.02813593,18.47134859,23.38020664,80.46439661
Volkswagen,ID.5 Pro,286,6.7,15.8,,electricity,35.6079936,13.185662,22.01407207,77.39266487
Volkswagen,ID.5 Pro Performance,204,8.4,16.9,,electricity,26.34400034,7.760632999,17.43634215,71.94701745
Volkswagen,ID.5 Pure,170,8.9,16.1,,electricity,23.74149461,6.165474858,17.06719606,70.36073709
Volkswagen,ID.4 Pro 4MOTION,286,6.7,16,,electricity,35.44786996,13.16710017,21.74251726,77.28076854
Volkswagen,ID.4 Pro ,286,6.7,15.8,,electricity,35.6079936,13.185662,22.01407207,77.39266487
Volkswagen,ID.4 Pro Performance,204,8.5,18,,electricity,25.56686318,7.614454277,16.23671406,71.32350239
Volkswagen,ID.4 Pure 52kWh ,170,9,16.8,,electricity,23.21777312,6.063946625,16.2467709,69.92141368
